@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 {0,1,2}

@data
127,'2022/11/20 22:45:23:555',2,-0.000158,0.000849,0.00285,0.395329,-1.24074,-2.544172,0,?
128,'2022/11/20 22:45:23:588',2,0.010181,0.001895,0.012918,0.395205,-1.241791,-2.543103,0,?
129,'2022/11/20 22:45:23:622',2,0.014343,0.001212,0.013884,0.394415,-1.242247,-2.542819,0,?
130,'2022/11/20 22:45:23:655',2,0.000798,0.005197,-0.001869,0.393427,-1.24229,-2.542815,0,?
131,'2022/11/20 22:45:23:688',2,0.012048,0.003473,0.003004,0.393048,-1.242302,-2.54282,0,?
132,'2022/11/20 22:45:23:722',2,-0.0026,0.000922,0.00212,0.391871,-1.242205,-2.543126,0,?
133,'2022/11/20 22:45:23:755',2,-0.012881,0.003447,-0.007472,0.391499,-1.241919,-2.543083,0,?
134,'2022/11/20 22:45:23:788',2,0.016595,0.001832,0.007981,0.392229,-1.243357,-2.541327,0,?
135,'2022/11/20 22:45:23:821',2,0.010189,-0.000727,0.024134,0.392003,-1.244528,-2.539857,0,?
136,'2022/11/20 22:45:23:855',2,-0.005558,-0.001884,0.012699,0.391477,-1.244609,-2.540048,0,?
137,'2022/11/20 22:45:23:888',2,0.007624,0.001515,0.00923,0.391688,-1.244602,-2.54051,0,?
138,'2022/11/20 22:45:23:922',2,0.020189,0.000661,0.013398,0.391688,-1.24535,-2.540642,0,?
139,'2022/11/20 22:45:23:955',2,0.003987,0.003942,0.005577,0.391011,-1.246029,-2.541039,0,?
140,'2022/11/20 22:45:23:988',2,0.007878,0.001956,0.004057,0.390778,-1.24595,-2.541147,0,?
141,'2022/11/20 22:45:24:022',2,0.004582,-0.005654,0.009097,0.390716,-1.246806,-2.541388,0,?
142,'2022/11/20 22:45:24:055',2,0.005709,0.000534,-0.002229,0.390264,-1.246089,-2.54259,0,?
143,'2022/11/20 22:45:24:088',2,0.003828,0.007406,-0.010963,0.390319,-1.246297,-2.543001,0,?
144,'2022/11/20 22:45:24:122',2,0.001708,0.005677,-0.008848,0.390512,-1.246487,-2.542012,0,?
145,'2022/11/20 22:45:24:155',2,0.004289,-0.000236,0.01227,0.390982,-1.247588,-2.540795,0,?
146,'2022/11/20 22:45:24:188',2,0.009966,0.003466,0.00992,0.391107,-1.247745,-2.540418,0,?
147,'2022/11/20 22:45:24:222',2,0.00252,0.002827,0.005493,0.390929,-1.247684,-2.53998,0,?
148,'2022/11/20 22:45:24:256',2,-0.000445,0.001733,0.009116,0.391279,-1.248255,-2.539254,0,?
149,'2022/11/20 22:45:24:288',2,0.011195,0.003858,0.013947,0.391746,-1.24872,-2.53888,0,?
150,'2022/11/20 22:45:24:322',2,0.009554,0.000911,0.009942,0.391595,-1.249028,-2.538884,0,?
151,'2022/11/20 22:45:24:355',2,-0.004116,0.002543,0.006995,0.391644,-1.249197,-2.539222,0,?
152,'2022/11/20 22:45:24:388',2,0.006219,0.000921,0.003172,0.392068,-1.249374,-2.539769,0,?
153,'2022/11/20 22:45:24:422',2,0.011148,0.003045,0.002857,0.392303,-1.248727,-2.540063,0,?
154,'2022/11/20 22:45:24:455',2,0.0047,-0.000345,0.002387,0.392448,-1.249138,-2.539662,0,?
155,'2022/11/20 22:45:24:488',2,0.004666,0.001336,0.004903,0.392963,-1.249609,-2.539034,0,?
