@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute realinputs-1 numeric
@attribute realinputs-2 numeric
@attribute realinputs-3 numeric
@attribute realinputs-4 numeric
@attribute realinputs-5 numeric
@attribute realinputs-6 numeric
@attribute realinputs-7 numeric
@attribute realinputs-8 numeric
@attribute realinputs-9 numeric
@attribute hori_android1 numeric
@attribute verti_android1 numeric
@attribute roll_android1 {0,1,2,3}
@attribute hori_ios1 numeric
@attribute verti_ios1 numeric
@attribute roll_ios1 {0,1,2,3}
@attribute hori_ios2 numeric
@attribute verti_ios2 numeric
@attribute roll_ios2 {0,1,2,3}

@data
55,'2022/11/28 09:44:44:413',6,13.696947,0.957348,29.278893,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
56,'2022/11/28 09:44:44:429',6,13.715821,0.944235,29.276005,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
57,'2022/11/28 09:44:44:445',6,13.74014,0.933468,29.26889,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
58,'2022/11/28 09:44:48:580',7,11.134698,1.650381,-25.581516,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
59,'2022/11/28 09:44:48:596',7,11.126899,1.649866,-25.574181,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
60,'2022/11/28 09:44:48:613',7,11.12066,1.649455,-25.568312,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
61,'2022/11/28 09:44:48:630',7,11.12066,1.649455,-25.568312,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
62,'2022/11/28 09:44:48:647',7,11.107274,1.655844,-25.558765,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
63,'2022/11/28 09:44:48:664',7,11.096566,1.660956,-25.551128,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
64,'2022/11/28 09:44:48:681',7,11.083855,1.677126,-25.546783,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
